cause,year,source,rfreq
accident,1999,nyt,0.020698151950718686
accident,1999,cdc,0.04388402203343038
accident,1999,google,NA
accident,2000,nyt,0.024203069657615112
accident,2000,cdc,0.04387320782423638
accident,2000,google,NA
accident,2001,nyt,0.016745318922210383
accident,2001,cdc,0.04536618950603641
accident,2001,google,NA
accident,2002,nyt,0.015600470957613815
accident,2002,cdc,0.04725390725451867
accident,2002,google,NA
accident,2003,nyt,0.016273944736395998
accident,2003,cdc,0.04847408573728089
accident,2003,google,NA
accident,2004,nyt,0.017362115863186527
accident,2004,cdc,0.05084002612329717
accident,2004,google,0.094155234
accident,2005,nyt,0.018541718867451765
accident,2005,cdc,0.05270133008248454
accident,2005,google,0.096751624
accident,2006,nyt,0.019099656689715198
accident,2006,cdc,0.05508559276198581
accident,2006,google,0.093624354
accident,2007,nyt,0.025251828342762524
accident,2007,cdc,0.05617681253221147
accident,2007,google,0.08683905800000001
accident,2008,nyt,0.021759386133187175
accident,2008,cdc,0.05459728016815822
accident,2008,google,0.08348893
accident,2009,nyt,0.02301077301077301
accident,2009,cdc,0.05371989437091632
accident,2009,google,0.082062357
accident,2010,nyt,0.028510568572833035
accident,2010,cdc,0.05465072650831088
accident,2010,google,0.085148515
accident,2011,nyt,0.030883294218049924
accident,2011,cdc,0.05670793128137576
accident,2011,google,0.07382169200000001
accident,2012,nyt,0.02905906631713983
accident,2012,cdc,0.05705868004138643
accident,2012,google,0.07166263
accident,2013,nyt,0.022020190093866226
accident,2013,cdc,0.05745536443854255
accident,2013,google,0.06612628
accident,2014,nyt,0.025311128479528648
accident,2014,cdc,0.05914001724797759
accident,2014,google,0.058521422
accident,2015,nyt,0.020687787706471703
accident,2015,cdc,0.06170187637794974
accident,2015,google,0.058504302
accident,2016,nyt,0.01906716258389979
accident,2016,cdc,0.06712051152114692
accident,2016,google,0.054554555
alzheimers,1999,nyt,0.011581108829568788
alzheimers,1999,cdc,0.020255983306188
alzheimers,1999,google,NA
alzheimers,2000,nyt,0.012228031708551189
alzheimers,2000,cdc,0.02251657915923807
alzheimers,2000,google,NA
alzheimers,2001,nyt,0.008068199117065002
alzheimers,2001,cdc,0.02444062102741196
alzheimers,2001,google,NA
alzheimers,2002,nyt,0.008192700156985871
alzheimers,2002,cdc,0.02646466971538319
alzheimers,2002,google,NA
alzheimers,2003,nyt,0.00808046561564107
alzheimers,2003,cdc,0.02857984426716436
alzheimers,2003,google,NA
alzheimers,2004,nyt,0.011458996469703107
alzheimers,2004,cdc,0.03038122880821207
alzheimers,2004,google,0.095188874
alzheimers,2005,nyt,0.010210473565522425
alzheimers,2005,cdc,0.0324959311439726
alzheimers,2005,google,0.08655672199999999
alzheimers,2006,nyt,0.008220105410763503
alzheimers,2006,cdc,0.0332840573170289
alzheimers,2006,google,0.093394601
alzheimers,2007,nyt,0.010579090198242951
alzheimers,2007,cdc,0.03440439081012955
alzheimers,2007,google,0.0843947
alzheimers,2008,nyt,0.012935050698821594
alzheimers,2008,cdc,0.03750574404098401
alzheimers,2008,google,0.086156308
alzheimers,2009,nyt,0.015356265356265357
alzheimers,2009,cdc,0.03651126399044643
alzheimers,2009,google,0.077338372
alzheimers,2010,nyt,0.014200666338958981
alzheimers,2010,cdc,0.03829729459478551
alzheimers,2010,google,0.05459688799999999
alzheimers,2011,nyt,0.01445487518668658
alzheimers,2011,cdc,0.03867800901154732
alzheimers,2011,google,0.0580636
alzheimers,2012,nyt,0.013776563110045178
alzheimers,2012,cdc,0.03792108467985821
alzheimers,2012,google,0.046730303
alzheimers,2013,nyt,0.014109451561485329
alzheimers,2013,cdc,0.03784947369643085
alzheimers,2013,google,0.037542662
alzheimers,2014,nyt,0.01503036132988637
alzheimers,2014,cdc,0.04124215419833058
alzheimers,2014,google,0.038383565
alzheimers,2015,nyt,0.012239371784457082
alzheimers,2015,cdc,0.04713904485459552
alzheimers,2015,google,0.041032429
alzheimers,2016,nyt,0.010003847633705272
alzheimers,2016,cdc,0.04890732238696951
alzheimers,2016,google,0.043918919
cancer,1999,nyt,0.2388501026694045
cancer,1999,cdc,0.3825932079508464
cancer,1999,google,NA
cancer,2000,nyt,0.2587282847023107
cancer,2000,cdc,0.38599090577003814
cancer,2000,google,NA
cancer,2001,nyt,0.1408129091185873
cancer,2001,cdc,0.3857240304786144
cancer,2001,google,NA
cancer,2002,nyt,0.1437892464678179
cancer,2002,cdc,0.38415941202810383
cancer,2002,google,NA
cancer,2003,nyt,0.14533536757642537
cancer,2003,cdc,0.3847728794811247
cancer,2003,google,NA
cancer,2004,nyt,0.15099253429017884
cancer,2004,cdc,0.39075883756854374
cancer,2004,google,0.098007893
cancer,2005,nyt,0.16675018792282637
cancer,2005,cdc,0.388016821871701
cancer,2005,google,0.103048476
cancer,2006,nyt,0.1652241187563464
cancer,2006,cdc,0.3930273134951799
cancer,2006,google,0.105801264
cancer,2007,nyt,0.1839381813164068
cancer,2007,cdc,0.3956232960763542
cancer,2007,google,0.108966937
cancer,2008,nyt,0.220279528637983
cancer,2008,cdc,0.39169764278207225
cancer,2008,google,0.109762603
cancer,2009,nyt,0.21777546777546777
cancer,2009,cdc,0.39826730591302884
cancer,2009,google,0.110676205
cancer,2010,nyt,0.22726527937080124
cancer,2010,cdc,0.399428205530435
cancer,2010,google,0.112022631
cancer,2011,nyt,0.2261041177725624
cancer,2011,cdc,0.39643206814510423
cancer,2011,google,0.111016468
cancer,2012,nyt,0.21724580288917397
cancer,2012,cdc,0.39794808923290925
cancer,2012,google,0.112409175
cancer,2013,nyt,0.1851939311647677
cancer,2013,cdc,0.39248261505941734
cancer,2013,google,0.112201365
cancer,2014,nyt,0.1984007695545001
cancer,2014,cdc,0.39090742350839386
cancer,2014,google,0.108528179
cancer,2015,nyt,0.17243433522881127
cancer,2015,cdc,0.37983510863498826
cancer,2015,google,0.109596294
cancer,2016,nyt,0.13372664700098327
cancer,2016,cdc,0.37414819841621877
cancer,2016,google,0.105355355
diabetes,1999,nyt,0.02726899383983573
diabetes,1999,cdc,0.03110941714927144
diabetes,1999,google,NA
diabetes,2000,nyt,0.030190588632147075
diabetes,2000,cdc,0.03148677211175507
diabetes,2000,google,NA
diabetes,2001,nyt,0.023138986147054345
diabetes,2001,cdc,0.03239203750962725
diabetes,2001,google,NA
diabetes,2002,nyt,0.021634615384615384
diabetes,2002,cdc,0.0329309039510431
diabetes,2002,google,NA
diabetes,2003,nyt,0.026727693959428152
diabetes,2003,cdc,0.03342684749774922
diabetes,2003,google,NA
diabetes,2004,nyt,0.027895132820186352
diabetes,2004,cdc,0.03368486792352027
diabetes,2004,google,0.101578651
diabetes,2005,nyt,0.029566524680531194
diabetes,2005,cdc,0.03409351878663218
diabetes,2005,google,0.102748626
diabetes,2006,nyt,0.035007978337604564
diabetes,2006,cdc,0.0332918691815969
diabetes,2006,google,0.105686387
diabetes,2007,nyt,0.03670484338346902
diabetes,2007,cdc,0.03290618266706865
diabetes,2007,google,0.107423131
diabetes,2008,nyt,0.0388599616333242
diabetes,2008,cdc,0.03209974839963056
diabetes,2008,google,0.104694585
diabetes,2009,nyt,0.037894537894537894
diabetes,2009,cdc,0.03175203970056355
diabetes,2009,google,0.103252801
diabetes,2010,nyt,0.04172811185755639
diabetes,2010,cdc,0.03168170688859594
diabetes,2010,google,0.107072136
diabetes,2011,nyt,0.03291017708555579
diabetes,2011,cdc,0.03360599810920459
diabetes,2011,google,0.103776263
diabetes,2012,nyt,0.04082770929778571
diabetes,2012,cdc,0.03352082968723504
diabetes,2012,google,0.103718478
diabetes,2013,nyt,0.036483853828443234
diabetes,2013,cdc,0.03374647590487868
diabetes,2013,google,0.104522184
diabetes,2014,nyt,0.03180424457403956
diabetes,2014,cdc,0.03372349975221463
diabetes,2014,google,0.101094743
diabetes,2015,nyt,0.028107229894394802
diabetes,2015,cdc,0.03391072740396934
diabetes,2015,google,0.102051621
diabetes,2016,nyt,0.023727074515839424
diabetes,2016,cdc,0.03372369719693724
diabetes,2016,google,0.096471471
heart disease,1999,nyt,0.03589322381930185
heart disease,1999,cdc,0.3283069361824639
heart disease,1999,google,NA
heart disease,2000,nyt,0.031118232416933716
heart disease,2000,cdc,0.3216502283553147
heart disease,2000,google,NA
heart disease,2001,nyt,0.021616684426853404
heart disease,2001,cdc,0.3164459528333956
heart disease,2001,google,NA
heart disease,2002,nyt,0.02418563579277865
heart disease,2002,cdc,0.3120044561853399
heart disease,2002,google,NA
heart disease,2003,nyt,0.0236763293213539
heart disease,2003,cdc,0.3071330034440656
heart disease,2003,google,NA
heart disease,2004,nyt,0.03240928294461485
heart disease,2004,cdc,0.2990947116903597
heart disease,2004,google,0.086074046
heart disease,2005,nyt,0.03639438737158607
heart disease,2005,cdc,0.29450529700152767
heart disease,2005,google,0.07906047
heart disease,2006,nyt,0.03679706010347662
heart disease,2006,cdc,0.28889791593238967
heart disease,2006,google,0.07466973
heart disease,2007,nyt,0.034451037210799874
heart disease,2007,cdc,0.2826072325191379
heart disease,2007,google,0.072044256
heart disease,2008,nyt,0.0400657714442313
heart disease,2008,cdc,0.2793209974839963
heart disease,2008,google,0.066150974
heart disease,2009,nyt,0.035862785862785865
heart disease,2009,cdc,0.2756740693909505
heart disease,2009,google,0.065595897
heart disease,2010,nyt,0.03397236331858649
heart disease,2010,cdc,0.27284907396449976
heart disease,2010,google,0.064639321
heart disease,2011,nyt,0.033603584382334115
heart disease,2011,cdc,0.26986894156877755
heart disease,2011,google,0.06303236799999999
heart disease,2012,nyt,0.037760053544536785
heart disease,2012,cdc,0.27012170184905926
heart disease,2012,google,0.064254167
heart disease,2013,nyt,0.036897101363716864
heart disease,2013,cdc,0.27105415206944866
heart disease,2013,google,0.062002275
heart disease,2014,nyt,0.030000601214453197
heart disease,2014,cdc,0.2689141357581615
heart disease,2014,google,0.057845655
heart disease,2015,nyt,0.031031681559707557
heart disease,2015,cdc,0.2681175208054155
heart disease,2015,google,0.05625413599999999
heart disease,2016,nyt,0.024667607199350176
heart disease,2016,cdc,0.26516014101457536
heart disease,2016,google,0.05467968
homicide,1999,nyt,0.3397125256673511
homicide,1999,cdc,0.012724119565607943
homicide,1999,google,NA
homicide,2000,nyt,0.3144712430426716
homicide,2000,cdc,0.01260861189410419
homicide,2000,google,NA
homicide,2001,nyt,0.18460445526970112
homicide,2001,cdc,0.013127552611191608
homicide,2001,google,NA
homicide,2002,nyt,0.19068877551020408
homicide,2002,cdc,0.013332590036343616
homicide,2002,google,NA
homicide,2003,nyt,0.2054585522969995
homicide,2003,cdc,0.013445682442471671
homicide,2003,google,NA
homicide,2004,nyt,0.1956131720585682
homicide,2004,cdc,0.013434246389854276
homicide,2004,google,0.055910543
homicide,2005,nyt,0.2196191430719118
homicide,2005,cdc,0.013915351455665572
homicide,2005,google,0.052073963
homicide,2006,nyt,0.22474735264252213
homicide,2006,cdc,0.014499280159656127
homicide,2006,google,0.051809305
homicide,2007,nyt,0.24975852076721403
homicide,2007,cdc,0.014370351521119195
homicide,2007,google,0.065097131
homicide,2008,nyt,0.22170457659632775
homicide,2008,cdc,0.013715177462430544
homicide,2008,google,0.06655108
homicide,2009,nyt,0.20085995085995087
homicide,2009,cdc,0.013144480214881423
homicide,2009,google,0.070454852
homicide,2010,nyt,0.22207657436233547
homicide,2010,cdc,0.012612870466948648
homicide,2010,google,0.068175389
homicide,2011,nyt,0.2569874119906123
homicide,2011,cdc,0.012548709375095286
homicide,2011,google,0.07453151599999999
homicide,2012,nyt,0.2706787885548553
homicide,2012,cdc,0.012973611165267303
homicide,2012,google,0.07679156599999999
homicide,2013,nyt,0.3145404097054135
homicide,2013,cdc,0.012316584076850049
homicide,2013,google,0.086461889
homicide,2014,nyt,0.28864305897913783
homicide,2014,cdc,0.011968650301663242
homicide,2014,google,0.088390323
homicide,2015,nyt,0.2998646087191985
homicide,2015,cdc,0.013228743812949719
homicide,2015,google,0.08259430799999999
homicide,2016,nyt,0.3143516737206618
homicide,2016,cdc,0.014349989616413894
homicide,2016,google,0.081581582
kidney disease,1999,nyt,0.0024640657084188913
kidney disease,1999,cdc,0.01712043568375086
kidney disease,1999,google,NA
kidney disease,2000,nyt,0.0021082813290605497
kidney disease,2000,cdc,0.01788768153475126
kidney disease,2000,google,NA
kidney disease,2001,nyt,0.0015730451108743086
kidney disease,2001,cdc,0.01886782177027032
kidney disease,2001,google,NA
kidney disease,2002,nyt,0.00201138147566719
